fleet_number,registration,source,verification_status,ocr_candidate,notes
7100796,LC77YCGP,20260902_164158+164218+164231,confirmed,,
7103977,NB25ZKGP,20260902_164158+164218,confirmed,,
7107105,LC83NEGP,20260902_164158+164218+164231,confirmed,,
7440813,HJ96LCGP,20260902_164158+164218+164231,confirmed,,
7440823,HK43HMGP,20260902_164158+164218,confirmed,,
7440836,LD01JBGP,20260902_164158+164218+164231,confirmed,,
7440837,HK09ZKGP,20260902_164158+164218+164231,confirmed,,
7440994,LH56GJGP,20260902_164158+164218,confirmed,,
7440999,HS01PZGP,20260902_164158+164218,confirmed,,
7441219,LJ49VDGP,20260902_164158+164218+164231,confirmed,,
7441223,LP77FLGP,20260902_164158+164218,confirmed,,
7441285,HR96THGP,20260902_164158+164218,confirmed,,
7441369,LN41KJGP,20260902_164158+164218,confirmed,,
7441571,LP38JKGP,20260902_164158+164218,confirmed,,
7442286,LN33TXGP,20260902_164158+164218+164231,confirmed,,
7442318,JG38HVGP,20260902_164158+164218+164231,confirmed,,
7442386,JJ26CYGP,20260902_164158+164218,confirmed,,
7442387,JJ26CZGP,20260902_164158+164218,confirmed,,
7442388,JJ26DDGP,20260902_164158+164218,confirmed,,
7443668,MR81MJGP,20260902_164158+164218,confirmed,,
7510627,LM88XSGP,20260902_164158+164218,confirmed,,
7510915,HT44RDGP,20260902_164158+164218,confirmed,,
7510932,JB20SSGP,20260902_164158+164218,confirmed,,
7510933,HT44RTGP,20260902_164158+164218,confirmed,,
7510942,HT64WTGP,20260902_164158+164218,confirmed,,
7510947,HT61JCGP,20260902_164158+164218,confirmed,,
7510955,HT64WSGP,20260902_164158+164218,confirmed,,
7510959,HT61JDGP,20260902_164158+164218,confirmed,,
7510966,HS75DFGP,20260902_164158+164218,confirmed,,
7510967,HT44RSGP,20260902_164158+164218,confirmed,,
7510972,HX89WCGP,20260902_164158+164218,confirmed,,
7510977,HT64WVGP,20260902_164158+164218,confirmed,,
7510982,HT41PZGP,20260902_164158+164218,confirmed,,
7510989,JL43VFGP,20260902_164158+164218,confirmed,,
7512122,JY54BJGP,20260902_164158+164218,confirmed,,
7512125,,20260902_164158+164218,needs_manual_review,LN32Z?GP,Registration characters are blurred.
7512128,,20260902_164158+164218,needs_manual_review,LN33YVGP,Registration requires visual confirmation.
7512129,,20260902_164158+164218,needs_manual_review,LC?BM?GP,Registration requires visual confirmation.
7512133,,20260902_164158+164218,needs_manual_review,LN33X?GP,Registration requires visual confirmation.
7512134,,20260902_164158+164218,needs_manual_review,LC?M?ZGP,Registration requires visual confirmation.
7512135,,20260902_164158+164218,needs_manual_review,LM04?KGP,Registration requires visual confirmation.
7512138,,20260902_164158+164218,needs_manual_review,LCB5M?GP,Registration requires visual confirmation.
7512151,JL77FLGP,20260902_164158+164218,confirmed,,
7512152,,20260902_164158+164218,needs_manual_review,JL77D?GP,Registration requires visual confirmation.
7512153,JL32RCGP,20260902_164158+164218,confirmed,,
7512154,JL32RVGP,20260902_164158+164218,confirmed,,
7512161,JF10TDGP,20260902_164158+164218+164231,confirmed,,
7512163,JL32RYGP,20260902_164158+164218+164231,confirmed,,
7512168,JD80CZGP,20260902_164158+164218+164231,confirmed,,
7512402,JL25MJGP,20260902_164158+164218,confirmed,,
7512406,JL09SXGP,20260902_164158+164218,confirmed,,
7512407,JL09TNGP,20260902_164158+164218,confirmed,,
7512408,JL09VBGP,20260902_164158+164218,confirmed,,
7512409,JL25NCGP,20260902_164158+164218,confirmed,,
7512414,JL09VMGP,20260902_164158+164218,confirmed,,
7512712,LR58XYGP,20260902_164158+164218,confirmed,,
7520607,LJ97WBGP,20260902_164158+164218,confirmed,,
7520681,LH13FFGP,20260902_164158+164218,confirmed,,
7520766,LJ49VRGP,20260902_164158+164218,confirmed,,
7522123,LH44TSGP,20260902_164158+164218,confirmed,,
7522136,JG38KJGP,20260902_164158+164218+164231,confirmed,,
7522139,LN32NBGP,20260902_164158+164218+164231,confirmed,,
7522145,LF76CPGP,20260902_164158+164218,confirmed,,
7522148,LP42RGGP,20260902_164158+164218,confirmed,,
7522172,JG38JNGP,20260902_164158+164218,confirmed,,
7522175,JG38LVGP,20260902_164158+164218,confirmed,,
7522176,JG38JYGP,20260902_164158+164218,confirmed,,
7522178,JG62KDGP,20260902_164158+164218,confirmed,,
8512892,LL68LTGP,20260902_164158+164218,confirmed,,
8512894,LL68MFGP,20260902_164158+164218,confirmed,,
8512898,LL71ZXGP,20260902_164158+164218,confirmed,,
8512986,LP97NWGP,20260902_164158+164218,confirmed,,
8512991,LP95MRGP,20260902_164158+164218,confirmed,,
8512992,LP95KJGP,20260902_164158+164218,confirmed,,
8513058,LP95KSGP,20260902_164158+164218,confirmed,,
8513449,MC21SRGP,20260902_164158+164218,confirmed,,
8513452,MB62HWGP,20260902_164158+164218,confirmed,,
8513486,MF10PGGP,20260902_164158+164218,confirmed,,
8513492,MF19TGGP,20260902_164158+164218,confirmed,,
8513505,MF38JFGP,20260902_164158+164218,confirmed,,
8513593,MM60BMGP,20260902_164158+164218,confirmed,,
8513631,MM60HVGP,20260902_164158+164218,confirmed,,
8523644,MM45ZRGP,20260902_164158+164218,confirmed,,
8553017,LY10GMGP,20260902_164158+164218,needs_manual_review,LY10GMGP,Lower image is faint; confirm fleet number and registration.
8563566,MK10WZGP,20260902_164158+164218,needs_manual_review,MK10WZGP,Lower image is faint; confirm fleet number and registration.
8563569,,20260902_164158+164218,needs_manual_review,MK11FN?GP,Registration requires visual confirmation.
8563650,MP71SDGP,20260902_164158+164218,needs_manual_review,MP71SDGP,Lower image is faint; confirm fleet number and registration.
7512158,JF10VCGP,20260902_164158+164218+164231,confirmed,,
8563850,NB67DNGP,20260902_164158+164218+164231,confirmed,,
8563851,NB67DNGP,20260902_164158+164218+164231,confirmed,,
8563852,MZ81XXGP,20260902_164158+164218+164231,confirmed,,
8563853,NB11TYGP,20260902_164158+164218+164231,confirmed,,
8563961,NC77XKGP,20260902_164158+164218+164231,confirmed,,
8563963,NC77WWGP,20260902_164158+164218+164231,confirmed,,
